Category,Title,Link,Image
Football,"Bellingham has a fight on his hands for England starting spot, Tuchel says",https://www.skysports.com/football/news/12016/13551807/jude-bellingham-england-boss-thomas-tuchel-claims-real-madrid-star-has-a-fight-on-his-hands-to-earn-world-cup-starting-spot,https://e0.365dm.com/26/06/768x432/skysports-jude-bellingham_7267903.jpg?20260607233059
Football,Mourinho set for Real Madrid return after Perez re-elected,https://www.skysports.com/football/live-blog/11095/12507208/football-latest-news-and-gossip,https://e0.365dm.com/26/05/768x432/skysports-jose-mourinho-florentino-perez_7255814.jpg?20260522142544
Football,Papers: Ederson's Man Utd move at risk of delay after World Cup call-up,https://www.skysports.com/football/transfer-paper-talk/12709/13551789/ederson-to-manchester-united-midfielders-call-up-to-brazil-world-cup-squad-could-delay-old-trafford-move-paper-talk,https://e0.365dm.com/25/03/768x432/skysports-paper-talk-brand-refresh_6852897.jpg?20250311094415
Football,Arsenal latest: Ex-Gunners striker Van Persie sacked by Feyenoord,https://www.skysports.com/football/live-blog/11670/13025486/arsenal-transfer-news-rumours-and-gossip-live-updates-and-latest-on-deals-signings-loans-and-contracts,https://e0.365dm.com/25/10/768x432/skysports-arsenal-news-club_7039237.jpg?20251002155710
Football,Transfer Centre LIVE! Bayern rule out Olise sale amid Real rumours,https://www.skysports.com/football/live-blog/31771/12476234/transfer-centre-live-football-transfer-news-updates-and-rumours,https://e0.365dm.com/26/05/768x432/skysports-michael-olise-bayern-munich_7237587.jpg?20260502204946
Football,Eriksen conscious after collapsing during Denmark friendly,https://www.skysports.com/football/news/11095/13551756/christian-eriksen-denmark-friendly-with-ukraine-abandoned-after-midfielder-collapses-on-pitch,https://e0.365dm.com/26/06/768x432/skysports-christian-eriksen_7267767.jpg?20260607193442
Football,England latest: Tuchel reveals vice-captain for World Cup,https://www.skysports.com/football/live-blog/11095/13427059/england-football-news-live-updates-schedule-and-analysis-of-thomas-tuchels-three-lions,https://e0.365dm.com/26/05/768x432/skysports-world-cup-england_7255431.jpg?20260522080147
Football,Man Utd latest: Ederson called up to Brazil World Cup squad,https://www.skysports.com/football/live-blog/11667/13025492/man-utd-transfer-news-rumours-and-gossip-live-updates-and-latest-on-deals-signings-loans-and-contracts,https://e0.365dm.com/26/02/768x432/skysports-michael-carrick-man-utd_7153593.jpg?20260202171649
Football,"Brighton rejected second Spurs bid for Van Hecke, says Barber",https://www.skysports.com/football/news/11095/13550663/jan-paul-van-hecke-tottenham-in-talks-with-brighton-over-defender-and-also-could-make-move-for-man-city-winger-savinho,https://e0.365dm.com/26/06/768x432/skysports-jan-paul-van-hecke_7267653.jpg?20260607172340
Football,Tuchel frustrated by 'freestyling' as NZ boss says England 'need to be better',https://www.skysports.com/football/news/12098/13551562/thomas-tuchel-frustrated-by-freestyling-england-in-world-cup-warm-up-as-new-zealand-boss-says-they-will-have-to-be-better,https://e0.365dm.com/26/06/768x432/skysports-thomas-tuchel-england_7267257.jpg?20260607074031
